District / Region,Location Name,Latitude,Longitude,UTM_Easting_X (m),UTM_Northing_Y (m),UTM_Zone
Shah Alam,Seksyen 17,3.0512,101.5098,778973.96,337577.87,47N
Shah Alam,Seksyen 24,3.045,101.5163,779698.52,336893.59,47N
Shah Alam,Seksyen 25,3.0333,101.515,779556.95,335598.76,47N
Shah Alam,Padang Jawa,3.0526,101.4922,777016.05,337728.21,47N
Shah Alam,Taman Sri Muda / Seksyen 32,3.0232,101.5273,780927.65,334484.48,47N
Shah Alam,Section 13,3.0805,101.5478,783192.86,340829.63,47N
Shah Alam,Seksyen 18,3.0528,101.5204,780152.53,337757.65,47N
Shah Alam,Seksyen 36,3.0189,101.5072,778693.06,334003.55,47N
Shah Alam,Klang River (Shah Alam stretch),3.043,101.528,781000.4,336675.35,47N
Petaling / Petaling Jaya,Jalan Kuching,3.175,101.6853,798460.41,351324.09,47N
Petaling / Petaling Jaya,Jalan Segambut / Segambut shophouses,3.1818,101.6738,797179.35,352073.22,47N
Petaling / Petaling Jaya,Jalan Travers,3.1328,101.6865,798605.93,346654.79,47N
Petaling / Petaling Jaya,Jalan Awan Kecil (Taman OUG),3.0768,101.6702,796808.52,340453.55,47N
Petaling / Petaling Jaya,Jalan Kuchai Lama / Kuchai Link,3.0886,101.6881,798796.37,341764.29,47N
Petaling / Petaling Jaya,KL–Seremban Expressway tunnel (toward Sri Petaling),3.0689,101.6963,799714.03,339586.68,47N
Petaling / Petaling Jaya,New Pantai Expressway (NPE - toward Old Klang Road),3.085,101.6789,797774,341363.35,47N
Petaling / Petaling Jaya,Federal Highway (PJ segment),3.1026,101.6447,793964.91,343301.29,47N
Petaling / Petaling Jaya,MRR2 (Desa Tun Razak segment),3.0831,101.7145,801734.61,341163.14,47N
Petaling / Petaling Jaya,KL–Seremban Expressway (toward Desa Petaling),3.0862,101.7052,800699.21,341503.54,47N
Petaling / Petaling Jaya,223 Food Court / Medan Selera 223 (Section 51A / Jalan 51A/223),3.1021,101.6322,792574.66,343242.5,47N
Petaling / Petaling Jaya,Amway Malaysia HQ (Section 51A),3.1015,101.6318,792530.33,343176,47N
Klang,Baling (Selangor floods context),5.6783,100.9167,712280.22,627994.77,47N
Klang,Meru,3.1388,101.4402,771210.6,347251.57,47N
Klang,Taman Melawis,3.0375,101.4372,770902.67,336043.62,47N
Subang Jaya,Subang Jaya (RTB Flood Mitigation Project),3.0567,101.5851,787347.98,338206.25,47N
Upstream / Regional Infrastructure,Batu Dam,3.2681,101.6871,798633.44,361626.61,47N
Upstream / Regional Infrastructure,Klang Gates Dam,3.2312,101.7512,805773.8,357562.52,47N
Upstream / Regional Infrastructure,Kampung Laksamana Retention Pond,3.2435,101.6782,797650.84,358901.87,47N
Upstream / Regional Infrastructure,Sungai Kertas Retention Pond,3.2562,101.6981,799860.37,360313.08,47N
Upstream / Regional Infrastructure,Bukit Lagong Retention Pond,3.252,101.6215,791342.41,359825.87,47N
Shah Alam,Seksyen 22,3.0722,101.5542,783906.9,339913,47N
Shah Alam,I-City,3.0658,101.4831,776000.54,339186.28,47N
Shah Alam,Bukit Lanchong / Kg Bukit Lanchung,3.0135,101.5642,785034.61,333420.86,47N
Shah Alam,Taman Desa Kemuning,3.0238,101.5165,779726.23,334548.07,47N
Shah Alam,Seksyen 35,3.0185,101.5122,779249.3,333960.57,47N
Shah Alam,Kampung Budiman,3.1381,101.482,775859.43,347185.06,47N
Shah Alam,Seksyen U14,3.1285,101.488,776529.24,346124.52,47N
Shah Alam,Persiaran Jubli Perak,3.056,101.5312,781352.94,338114.52,47N
Petaling Jaya / Petaling,Kelana Jaya,3.1043,101.5976,788725.54,343476.41,47N
Petaling Jaya / Petaling,Damansara (Ara Damansara / PJ Damansara),3.1283,101.5831,787106.24,346127.96,47N
Petaling Jaya / Petaling,Jalan 222 (BH petrol station / Federal Highway junction),3.1028,101.6295,792274.14,343319.2,47N
Klang,Taman Sentosa,3.0185,101.4682,774355.32,333949.37,47N
Klang,Bandar Botanic,2.9985,101.4428,771535.19,331730.31,47N
Klang,Bandar Puteri,2.9931,101.4625,773727.68,331137.79,47N
Klang,Taman Chi Liung,3.0275,101.4362,770793.93,334937.04,47N
Klang,Taman Sri Andalas,3.0232,101.455,772885.99,334466.03,47N
Klang,Teluk Pulai,3.0418,101.4285,769933.98,336517.16,47N
Klang,Pandamaran,3.0125,101.4182,768795.66,333273.08,47N
Klang,Jalan Kebun Nenas / Kg Jawa,3.0162,101.4785,775501.52,333697.51,47N
